,Tweets,len,ID,Date,Source,Likes,RTs,SA
108,"Shri Lalji Tandon was well-versed with constitutional matters. He enjoyed a long and close association with beloved Atal Ji. 

In this hour of grief, my condolences to the family and well-wishers of Shri Tandon. Om Shanti.",222,1285402672338616320,2020-07-21 02:34:13,Twitter for iPhone,32552,3602,1
109,"Shri Lalji Tandon will be remembered for his untiring efforts to serve society. He played a key role in strengthening the BJP in Uttar Pradesh. He made a mark as an effective administrator, always giving importance of public welfare. Anguished by his passing away. https://t.co/6GeYOb5ApI",288,1285402668182040576,2020-07-21 02:34:12,Twitter for iPhone,87580,9257,1
110,"Highlighted reasons that make India an attractive investment destination. 

Was happy to know more about @IBM’s efforts in furthering AI among students. I also thank @ArvindKrishna for his encouraging words on efforts like Ayushman Bharat &amp; India’s journey to become Aatmanirbhar.",284,1285215656749568001,2020-07-20 14:11:05,Twitter Web App,22523,3443,1
111,"Had an extensive interaction with CEO of @IBM, Mr. @ArvindKrishna. We discussed several subjects relating to technology, data security, emerging trends in healthcare and education. https://t.co/w9or8NWWbD https://t.co/fCqFbmrzJx",228,1285215654644076544,2020-07-20 14:11:04,Twitter Web App,67225,8533,0
112,"RT @sarbanandsonwal: Hon'ble PM Shri @narendramodi ji took stock of the contemporary situation regarding #AssamFloods2020, #COVID19 and Bag…",140,1284740081991860224,2020-07-19 06:41:19,Twitter for iPhone,0,2497,1
113,"We mourn the loss of US Congressman John Lewis, a champion of civil rights, non-violence and Gandhian values. His legacy will continue to endure and inspire.",157,1284737590256533504,2020-07-19 06:31:25,Twitter for iPhone,91814,8467,0
114,"In the passing away of Professor C. S. Seshadri, we have lost an intellectual stalwart who did outstanding work in mathematics. His efforts, especially in algebraic geometry, will be remembered for generations. Condolences to his family and admirers. Om Shanti.",261,1284443733778288640,2020-07-18 11:03:44,Twitter for iPhone,71507,7903,1
115,Speaking at the High-Level Segment of ECOSOC. https://t.co/BYh60MU7Ku,69,1284140893637718017,2020-07-17 15:00:21,Periscope,53053,9860,1
116,"At 8:30 this evening, I would be addressing the High-Level Segment of ECOSOC. Would be speaking on various issues including this year’s theme of multilateralism after COVID-19, at a time when we mark 75 years of the @UN. 

https://t.co/oOOszU1LOb",246,1284021198444089350,2020-07-17 07:04:44,Twitter Web App,56163,7340,1
117,"The Tirukkural is extremely inspiring. It is a treasure of rich thoughts, noble ideals and great motivation. 

The words of respected Thiruvalluvar have the power to spread hope and brightness. 

I hope more youngsters across India read it! https://t.co/Fxi8ROkp0t",264,1283713012587655168,2020-07-16 10:40:07,Twitter Web App,39962,6990,1
118,"தெய்வப்புலவர் திருவள்ளுவரின் எழுத்துக்கள், நம்பிக்கையும் ஒளியும் பரப்பிடும் வல்லமை வாய்ந்தவை. இந்தியா முழுதிலுமுள்ள  இளைஞர்கள் பலரும் திருக்குறளைப் படித்துப் பயனுருவர் என நம்புகிறேன்.",183,1283712370003439616,2020-07-16 10:37:33,Twitter Web App,17392,3397,0
119,"திருக்குறள் அதி அற்புதமான ஊக்குவிப்பு நூலாகும்.           உயரிய சிந்தனைகள், உன்னதக் குறிக்கோள்கள், ஊக்கம் தரும்  கருத்துக்களை உள்ளடக்கிய பொக்கிஷமாகும். https://t.co/TzNBrwrdoi",175,1283712367696547840,2020-07-16 10:37:33,Twitter Web App,35155,5694,0
120,"Acharya Shree Purushottampriyadasji Swamishree Maharaj was blessed with immense wisdom. His emphasis on community service, education and women empowerment will always be remembered. I will never forget my many interactions with him. Om Shanti.",243,1283616593038073857,2020-07-16 04:16:58,Twitter for iPhone,23888,3096,1
121,"We will always remember Acharya Shree Purushottampriyadasji Swamishree Maharaj for his noble service to society. He worked hard to alleviate human suffering and further compassion. He will be remembered by countless people, not only in India but globally.",255,1283616590634692609,2020-07-16 04:16:58,Twitter for iPhone,54116,6081,1
122,"For those who aren’t happy with their CBSE Class X and XII results, I want to tell them- one exam doesn’t define who you are. Each of you is blessed with numerous talents. Live life to the fullest. Never lose hope, always look ahead. You will do wonders!",254,1283404680878387202,2020-07-15 14:14:55,Twitter for iPhone,233606,30359,1
123,Congratulations to all my young friends who have successfully passed their Class X and XII CBSE examinations. Wishing them the very best for their future endeavours.,165,1283404369702969345,2020-07-15 14:13:40,Twitter for iPhone,104665,9488,1
124,"The future belongs to technology. 

It is important to work together to further the usage of latest technology for the benefit of our people. https://t.co/3VoDqvYCO6",165,1283404234264735744,2020-07-15 14:13:08,Twitter for iPhone,26797,3962,1
125,"Today’s India-EU Summit was an extremely fruitful one. @eucopresident @CharlesMichel, @EU_Commission President @vonderleyen and I interacted on a variety of subjects including the COVID-19 situation, multilateralism, environment, trade, investment, digital economy and more.",274,1283404147199340544,2020-07-15 14:12:47,Twitter for iPhone,20536,3042,1
126,"Anguished by the passing away of Shri Jagdeoram Oran Ji, President of the Vanvasi Kalyan Ashram. His was a life devoted to serving the tribal communities. He was known for his kind and hardworking nature. Om Shanti.",215,1283404027087081472,2020-07-15 14:12:19,Twitter for iPhone,32378,4133,1
127,Addressing the India-EU Summit. https://t.co/7rdTwnafaM,55,1283357470346231811,2020-07-15 11:07:19,Periscope,25098,4805,0
128,The world needs skilled hands and we in India have the talent-force to cater to these global needs. #5YearsofSkillIndia https://t.co/V94f48UqU6,143,1283322677793484802,2020-07-15 08:49:04,Twitter Media Studio,28753,4752,1
129,"Knowledge and skill are two different things.

Do you know who taught me the difference well? It was a mechanic in a remote, tribal-dominated area where I had gone years ago. #5YearsofSkillIndia https://t.co/RZraXPGSNJ",218,1283322612282617859,2020-07-15 08:48:48,Twitter Media Studio,19241,3715,-1
130,"Skill is timeless. 

Skill is unique.

Skill is a treasure that nobody can take away.

Skill is self-reliance, it not only makes one employable but also self-employable. #5YearsofSkillIndia https://t.co/1DxjvNsEfr",213,1283322436339941376,2020-07-15 08:48:06,Twitter Media Studio,21066,3864,1
131,"Today’s buzzwords:

Skill.

Re-skill.

Upskill.

#5YearsofSkillIndia https://t.co/WQCqaBbYCS",92,1283322354748100608,2020-07-15 08:47:47,Twitter Media Studio,25347,4379,0
132,"बाबा केदार के दर्शन मात्र से करोड़ों श्रद्धालुओं को अपूर्व ऊर्जा मिलती है। यात्रियों को गौरीकुंड-केदारनाथ मार्ग पर सभी सुविधाएं मिलें, टेक्नोलॉजी के द्वारा तीर्थ के ऐतिहासिक और सांस्कृतिक महत्त्व को दिखाया जाए, ऐसी व्यवस्थाएं विकसित हों, इनको लेकर भी विस्तृत समीक्षा की गई।",273,1283310818658881538,2020-07-15 08:01:56,Twitter Web App,25960,3808,0
133,"केदारनाथ मंदिर और जगद्गुरु आदि शंकराचार्य जी के समाधि स्थल की दिव्यता बढ़े, स्वच्छता को केंद्र में रखकर और व्यापक विकास हो, इन पर भी बात हुई। मुझे विश्वास है कि बाबा के आशीर्वाद से केदारनाथ धाम के अलौकिक स्वरूप में और भी वृद्धि होगी।",233,1283310817132163073,2020-07-15 08:01:56,Twitter Web App,27725,3973,0
134,पवित्र सावन मास में आज केदारनाथ धाम में हो रहे विकास कार्यों और धाम की दिव्यता को और बढ़ाने के लिए चल रहे प्रयासों की समीक्षा करने का सौभाग्य प्राप्त हुआ। https://t.co/mrGyz2LEHw,178,1283310815131525120,2020-07-15 08:01:55,Twitter Web App,60845,7825,0
135,Addressing a conclave on World Youth Skills Day. https://t.co/2KMIQg0kUy,72,1283275111194259456,2020-07-15 05:40:03,Periscope,28463,5735,0
136,"Today on World Youth Skills Day, will be addressing, via video link, a conclave being organized by the Ministry of Skill Development and Entrepreneurship at 11 AM. This conclave also marks five years of the Skill India Mission.",227,1283251179544178688,2020-07-15 04:04:57,Twitter for iPhone,59454,7046,0
137,Will take part in the India-EU Summit at 4:30 PM today. I am confident this Summit will further strengthen our economic as well as cultural linkages with Europe.,161,1283250768531709952,2020-07-15 04:03:19,Twitter for iPhone,38389,4726,1
138,Greetings to my Cabinet colleague @DrRPNishank Ji on his birthday. He is making numerous efforts to transform our education sector. Praying for his long and healthy life.,170,1283250601879465989,2020-07-15 04:02:39,Twitter for iPhone,41791,3775,1
139,"Felicitations to my dear friend @EmmanuelMacron and the friendly people of France on the occasion of Bastille Day! We are committed to further strengthening India's important strategic partnership with France, and expanding our cooperation.",240,1283046176632320002,2020-07-14 14:30:21,Twitter for iPhone,63554,7109,1
140,"Best wishes to the Chief Minister of Mizoram, Mr. @ZoramthangaCM on his birthday. One of the senior most and respected leaders in our polity, he has worked extensively for the welfare of Mizoram. May Almighty bless him with a long and healthy life in service of the people.",273,1282608503010373632,2020-07-13 09:31:11,Twitter for iPhone,51515,5016,1
141,"I was delighted to know more about the efforts of @Google in several sectors, be it in education, learning, @_DigitalIndia, furthering digital payments and more. @sundarpichai",175,1282582193496186880,2020-07-13 07:46:38,Twitter Web App,34837,4316,1
142,"During our interaction, @sundarpichai and I spoke about the new work culture that is emerging in the times of COVID-19. We discussed the challenges the global pandemic has brought to areas such as sports. We also talked about the importance of data security and cyber safety.",275,1282582191910744065,2020-07-13 07:46:38,Twitter Web App,38573,4825,1
143,"This morning, had an extremely fruitful interaction with @sundarpichai. We spoke on a wide range of subjects, particularly leveraging the power of technology to transform the lives of India’s farmers, youngsters and entrepreneurs. https://t.co/IS9W24zZxs",254,1282582190061047808,2020-07-13 07:46:37,Twitter Web App,145888,17683,-1
144,શ્રી નગીનદાસ સંઘવી પ્રબુદ્ધ લેખક-વિચારક હતા. એમના લેખો અને પુસ્તકોમાં ઇતિહાસ અને તત્વજ્ઞાનની સમજ અને રાજકીય ઘટનાઓનું પૃથક્કરણ કરવાની અસાધારણ શક્તિનો પરિચય થાય છે. એમના અવસાનથી દુ:ખની લાગણી અનુભવું છું. શોકગ્રસ્ત પરિવાર અને એમના વિશાળ વાચકવર્ગને સાંત્વના...ઓમ શાંતિ !!,267,1282316751250890759,2020-07-12 14:11:52,Twitter for iPhone,45668,4829,0
145,Also discussed ways to further step-up our capacities to prevent the spread of COVID-19. We also highlighted successful initiatives being undertaken across India to ensure the Coronavirus is kept under check.,208,1281919314224799744,2020-07-11 11:52:36,Twitter Web App,23261,3297,1
146,Had an extensive meeting to review the COVID-19 situation across the nation. Took stock of the ongoing efforts to contain the infection. Priority is close monitoring and guiding the containment works in regions where the infection rate is high. https://t.co/iOLuK2IJF6,268,1281919311896928256,2020-07-11 11:52:35,Twitter Web App,46576,6219,1
147,Congratulations to Prime Minister @leehsienloong for success in the General Elections! Best wishes to the people of Singapore for a peaceful and prosperous future.,163,1281862889591025665,2020-07-11 08:08:23,Twitter for iPhone,79141,7324,1
148,"There are multiple ways to give inputs for #MannKiBaat.

Record a message by dialling 1800-11-7800.

Share your inputs on the specially created Open Forum on the NaMo App.

Pen your views on MyGov. https://t.co/9N6nGRFjE3 https://t.co/Hdysehn1CN",245,1281800970360328192,2020-07-11 04:02:20,Twitter for iPhone,19341,3599,1
149,"I am sure you would be aware of inspiring anecdotes of how collective efforts have brought about positive changes. 

You would surely know of initiatives that have transformed many lives. 

Please share them for this month’s #MannKiBaat, which will take place on the 26th!",272,1281800944733188096,2020-07-11 04:02:14,Twitter for iPhone,48553,6402,1
150,Saddened by the loss of lives due to heavy rains as well as landslides in Arunachal Pradesh. My thoughts are with the bereaved families. May the injured recover quickly. All possible assistance is being provided to those affected.,230,1281620540650688513,2020-07-10 16:05:22,Twitter for iPhone,77144,8570,1
151,"Glimpses from the solar power project that was inaugurated in Rewa, Madhya Pradesh, this morning. https://t.co/uZOZ0YXxAQ",121,1281505098980397057,2020-07-10 08:26:39,Twitter Web App,175861,26350,0
152,"आत्मनिर्भरता सही मायने में तभी संभव है, जब हमारे भीतर आत्मविश्वास हो।

आत्मविश्वास तभी आता है, जब पूरा देश, पूरा सिस्टम हर देशवासी का साथ दे।

कोरोना संकट से पैदा हुई स्थितियों के बीच भारत यही काम कर रहा है, सरकार यही आत्मविश्वास जगाने में जुटी है। https://t.co/eI2fIWABOw",272,1281504463732174848,2020-07-10 08:24:08,Twitter Media Studio,25836,4638,0
153,"सोलर पावर की ताकत का हम तब तक पूरी तरह से उपयोग नहीं कर पाएंगे, जब तक हमारे पास देश में ही बेहतर सोलर पैनल, बैटरी, उत्तम क्वालिटी की स्टोरेज कैपेसिटी ना हो।

आत्मनिर्भर भारत अभियान के तहत अब देश का लक्ष्य है कि सोलर पैनल्स सहित तमाम उपकरणों के लिए आयात पर निर्भरता खत्म करें। https://t.co/2mbRYhCBzG",299,1281504367586107393,2020-07-10 08:23:45,Twitter Media Studio,19729,3847,0
154,"जब हम renewable energy के बड़े projects लॉन्च कर रहे हैं, तब हम ये भी सुनिश्चित कर
रहे हैं कि साफ-सुथरी ऊर्जा के प्रति हमारा संकल्प जीवन के हर पहलू में दिखे। 

हम कोशिश कर रहे हैं कि इसका लाभ देश के हर कोने, समाज के हर वर्ग, हर नागरिक तक
पहुंचे।

जानिए इसका एक उदाहरण... https://t.co/bLdHpZSQPm",294,1281504263504449536,2020-07-10 08:23:20,Twitter Media Studio,15110,3034,0
155,"Solar energy- pure, sure and secure. https://t.co/jJtFQzKzPg",60,1281504200241762306,2020-07-10 08:23:05,Twitter Media Studio,29428,4641,1
156,"Rewa, associated with Maa Narmada and the White Tiger will also be known as the land with a state-of-the-art solar power project.

This solar project will help the people of MP, power the Metro in Delhi and contribute to a cleaner environment. https://t.co/V6Nqz7Vire",267,1281504118448590848,2020-07-10 08:22:45,Twitter Media Studio,18279,3297,0
157,"Inaugurating a Solar Project in Rewa, Madhya Pradesh. https://t.co/QXLmVlV5nb",77,1281465680437501953,2020-07-10 05:50:01,Periscope,35112,6052,0
158,Birthday wishes to Shri @rajnathsingh Ji. Rajnath Ji’s wisdom is greatly beneficial to the Government. He is at the forefront of efforts to build a strong and secure India. He has always worked for the welfare of the poor and our hardworking farmers. Praying for his long life.,277,1281431101844537344,2020-07-10 03:32:37,Twitter for iPhone,80331,8175,1
159,"At 11 AM tomorrow, I would be inaugurating a 750 MW Solar Project in Rewa, Madhya Pradesh via video conferencing. This project adds momentum to our commitment of increasing renewable energy capacities by 2022. https://t.co/sKDdEnSQXc",233,1281225313180098562,2020-07-09 13:54:53,Twitter Web App,56684,7971,0
160,"India awaits you.

There are infinite opportunities in a wide range of sectors. https://t.co/AyAe9E7LFQ",103,1281186129035669505,2020-07-09 11:19:11,Twitter Media Studio,47698,7595,-1
161,"India is seeing clear green shoots when it comes to economic recovery.

The economy is being made:

More productive.

More investment friendly. 

More competitive. https://t.co/4A0FVNMtJx",187,1281185951696384000,2020-07-09 11:18:28,Twitter Media Studio,18306,3454,1
162,"The story of global revival will see India play a leading role. 

India is fighting a spirited battle against the virus.

The focus is on improving people’s health as well as the health of the economy. https://t.co/nGsTMOsem3",225,1281185797127856129,2020-07-09 11:17:51,Twitter Media Studio,21769,4082,1
163,"हम सभी के प्रयासों से हमारी काशी भारत के एक बड़े एक्सपोर्ट हब के रूप में विकसित होगी। 

काशी को हम आत्मनिर्भर भारत अभियान की प्रेरक स्थली के रूप में भी स्थापित करेंगे। https://t.co/LIhUmBgXDU",191,1281145556799156224,2020-07-09 08:37:57,Twitter Media Studio,27204,4694,0
164,"सेवा करने वाला सेवा का फल नहीं मांगता, दिन-रात निःस्वार्थ भाव से सेवा करता है।

दूसरों की निःस्वार्थ सेवा के हमारे यही संस्कार हैं, जो इस मुश्किल समय में देशवासियों के काम आ रहे हैं। https://t.co/2JV22ao4D7",206,1281145477535162368,2020-07-09 08:37:39,Twitter Media Studio,36268,5797,0
165,"उत्तर प्रदेश ने न सिर्फ संक्रमण की गति को काबू में किया हुआ है, बल्कि जिन्हें कोरोना हुआ है, वे भी तेजी से ठीक हो रहे हैं।

इसकी बहुत बड़ी वजह आप सभी लोग हैं। आप जैसे सामाजिक, धार्मिक और परोपकारी संगठनों के सेवाभाव, संकल्प और संस्कार हैं, जिनसे इस कठिन समय में बहुत मदद मिली है। https://t.co/jT4MrkixY1",302,1281145169845219331,2020-07-09 08:36:25,Twitter Media Studio,18145,3356,0
166,"हमारी काशी में बाबा विश्वनाथ और मां अन्नपूर्णा दोनों विराजते हैं।

तमाम संगठनों के लिए, हम सभी के लिए यह बहुत सौभाग्य की बात है कि इस बार गरीबों की सेवा का माध्यम भगवान ने हमें बनाया।

एक तरह से आप सभी मां अन्नपूर्णा और बाबा विश्वनाथ के दूत बनकर हर जरूरतमंद तक पहुंचे। https://t.co/4RS13UvqPr",292,1281145015381585922,2020-07-09 08:35:48,Twitter Media Studio,22240,4252,0
167,Addressing India Global Week organised by @IndiaIncorp. #BeTheRevival #IGW2020 https://t.co/KXoENP49ZZ,102,1281138125486473216,2020-07-09 08:08:26,Periscope,17697,3795,0
168,Interacting with NGOs from Varanasi. https://t.co/1DrdmbvDiQ,60,1281100329241571328,2020-07-09 05:38:14,Periscope,24975,4417,0
169,"Will be addressing the India Global Week, organised by @IndiaIncorp at 1:30 PM tomorrow. This forum brings together global thought leaders and captains of industry, who will discuss aspects relating to opportunities in India as well as the global economic revival post-COVID.",275,1280854669720350722,2020-07-08 13:22:05,Twitter Web App,28661,4617,1
170,"कोविड महामारी के दौरान वाराणसी के नागरिकों और सामाजिक संगठनों से जुड़े लोगों ने पूरे समर्पण भाव से न केवल जरूरतमंदों की मदद की, बल्कि स्थानीय प्रशासन को भी हर प्रकार की सहायता दी। अपने संसदीय क्षेत्र के इन लोगों से कल सुबह 11 बजे होने वाले संवाद को लेकर बेहद उत्सुक हूं।",270,1280854423128829952,2020-07-08 13:21:06,Twitter Web App,74214,8617,0
171,An important step towards transforming the agriculture sector.  https://t.co/3IvemvZWn4,87,1280854287485005825,2020-07-08 13:20:33,Twitter Web App,29156,4240,1
172,कोरोना संकट काल में गरीबों की चिंताओं को दूर करने और उन्हें सशक्त बनाने के लिए आज कैबिनेट ने एक महत्वपूर्ण फैसले को मंजूरी दी। प्रधानंमत्री गरीब कल्याण अन्न योजना को नवंबर तक के लिए बढ़ा दिया गया है। इससे देश के 81 करोड़ लोग लाभान्वित होंगे। https://t.co/Fao7LqhXbw,265,1280854149077200896,2020-07-08 13:20:00,Twitter Web App,23033,4043,0
173,"घर का अर्थ सिर्फ ईंट और सीमेंट से चारदीवारी खड़ी कर देना नहीं है। 

यह वह जगह होती है, जहां हमारे सपने आकार लेते हैं और हमारी आंकाक्षाएं उड़ान भरती हैं। 
 
आज कैबिनेट के महत्वपूर्ण फैसले से कई लोगों की जिंदगी में सकारात्मक बदलाव आएगा। https://t.co/Uvn0DEOhzP",258,1280853876007006210,2020-07-08 13:18:55,Twitter Web App,30512,5534,0
174,"My friend President @jairbolsonaro, my prayers and best wishes for your speedy recovery.",88,1280720310921097216,2020-07-08 04:28:11,Twitter for iPhone,37391,3481,1
175,"Meu amigo Presidente @jairbolsonaro, minhas orações e melhores votos por sua rápida recuperação.",96,1280720308320624641,2020-07-08 04:28:10,Twitter for iPhone,61798,6318,0
176,"I bow to Dr. Syama Prasad Mookerjee on his Jayanti. A devout patriot, he made exemplary contributions towards India’s development. He made courageous efforts to further India’s unity. His thoughts and ideals give strength to millions across the nation.",252,1279951711788863488,2020-07-06 01:34:03,Twitter for iPhone,119601,15161,0
177,देशवासियों को गुरु पूर्णिमा की ढेरों शुभकामनाएं। जीवन को सार्थक बनाने वाले गुरुओं के प्रति सम्मान प्रकट करने का आज विशेष दिन है। इस अवसर पर सभी गुरुजनों को मेरा सादर नमन।,170,1279629424200048640,2020-07-05 04:13:23,Twitter for iPhone,190808,22185,0
178,Best wishes to my senior Cabinet colleague Shri @irvpaswan Ji. Paswan Ji’s administrative experience and insight on key policy issues are a major asset for our Government. His contribution towards social justice is immense. Praying for his long and healthy life.,262,1279617542474960896,2020-07-05 03:26:10,Twitter for iPhone,46284,4571,1
179,"भाजपा के प्रत्येक कार्यकर्ता को अपने साथ सात ‘स’ की शक्ति लेकर आगे बढ़ना चाहिए। 
ये हैं-
पहला- सेवाभाव, 
दूसरा- संतुलन, 
तीसरा- संयम, 
चौथा- समन्वय, 
पांचवां- सकारात्मकता, 
छठा- सद्भावना 
और सातवां- संवाद। https://t.co/NnelweAMV9",229,1279455038637658112,2020-07-04 16:40:26,Twitter Media Studio,32986,6084,0
180,"हम चाहे कार्यकर्ता की भूमिका में हों या सरकार में, वास्तव में हम देश की और गरीबों की सेवा का माध्यम ही हैं।

यह सरकार छह सालों से इसी विचार के साथ काम कर रही है और फैसले ले रही है। https://t.co/RvPG4vKdSt",204,1279454912791801856,2020-07-04 16:39:56,Twitter Media Studio,25100,4297,0
181,"कोरोना के इस संकट काल में समाज ने आपको स्नेह दिया है, विश्वास दिया है।

आप किसी गरीब की मदद कर सकें, इसके लिए समाज ने आपको साधन दिए हैं। 

यही वो स्नेह है, वो ऊर्जा है, जिसकी ताकत ने आपको थकने नहीं दिया। हमें इस ऊर्जा को और समाज की इस शक्ति को समझना चाहिए। https://t.co/hB3eCnkgX7",280,1279454843153731585,2020-07-04 16:39:40,Twitter Media Studio,19334,3516,0
182,"हमारे लिए हमारे संगठन का मतलब है- सेवा, सबका संग, सबका साथ, सबका सुख, सबकी समृद्धि।
 
हमारा संगठन समाज हित के लिए काम करने वाला है, संघर्ष करने वाला है, समाज और देश के लिए खप जाने वाला है।
 
हमारे लिए हमेशा ‘Nation First’ रहा है। https://t.co/Th2yGuef8v",253,1279454646600253441,2020-07-04 16:38:53,Twitter Media Studio,18905,3635,1
183,"हम लोगों ने राजनीति में सत्ता को सेवा का माध्यम माना, हमने कभी भी सत्ता को अपने लाभ का माध्यम नहीं बनाया।

निःस्वार्थ सेवा ही हमारा संकल्प और संस्कार रहा है। https://t.co/0OLvhZA2vy",181,1279454478886793224,2020-07-04 16:38:13,Twitter Media Studio,40090,6413,0
184,India is placing great importance to education in the agricultural sector that benefits the farmers. India is proud of its traditional agro knowledge and will complement it with latest technology to ensure a boost to the income of farmers.,239,1279412618671714304,2020-07-04 13:51:53,Twitter for iPhone,13388,2122,1
185,"Other aspects relating to ICAR which we discussed included research on  indigenous breeds of dogs and horses, mission mode approach for vaccination to cure Foot and Mouth disease, study of grasses and local fodder crops and ensuring easy access to farm equipment.",263,1279412616754954240,2020-07-04 13:51:52,Twitter for iPhone,12888,2058,1
186,"Emphasised on the need to spread awareness on including millets such as Jowar, Bajra and Ragi as a part of people’s diet. Also emphasised on ensuring extensive awareness programmes on water use efficiency and water conservation.",228,1279412614582288384,2020-07-04 13:51:52,Twitter for iPhone,1638,474,0
187,"India is working towards increased organic farming as well as farming on a cluster based approach. Efforts are also ongoing to encourage start-ups related to agriculture, especially ones that encourage usage of latest technology in the sector.",243,1279412612480958465,2020-07-04 13:51:51,Twitter for iPhone,1618,464,1
188,Commendable work has happened in developing varieties that cater to specific requirements of agro-climatic zones. Various varieties have also been developed that will further our endeavour of a nation free from the menace of malnutrition.,238,1279412609930780673,2020-07-04 13:51:51,Twitter for iPhone,1547,480,1
189,Reviewed extensively the progress of research in agriculture. Also reviewed aspects relating to education of agriculture during today’s meet. Ensuring farmer welfare is one of our key priorities. https://t.co/GpGJjRs1rv,219,1279412606785089536,2020-07-04 13:51:50,Twitter for iPhone,23265,3695,0
190,"I congratulate @POTUS @realDonaldTrump and the people of the USA on the 244th Independence Day of the USA. As the world's largest democracies, we cherish freedom and human enterprise that this day celebrates. 
@WhiteHouse",221,1279411490022322176,2020-07-04 13:47:24,Twitter for iPhone,173396,26999,0
191,Addressing ‘Seva Hi Sangathan’ interaction. https://t.co/Hf87X1BHfW,67,1279396576574664705,2020-07-04 12:48:08,Periscope,27675,5028,0
192,"This challenge is for you if you have such a working product or if you feel you have the vision and expertise to create such products. I urge all my friends in the tech community to participate. 

Sharing my thoughts in my @LinkedIn post. 

https://t.co/aO5cMYi4SH",264,1279353810897387520,2020-07-04 09:58:12,Twitter Web App,35400,6572,0
193,"Today there is immense enthusiasm among the tech &amp; start-up community to create world class Made in India Apps. To facilitate their ideas and products @GoI_MeitY and @AIMtoInnovate are launching the Aatmanirbhar Bharat App Innovation Challenge. 

https://t.co/h0xqjEwPko",274,1279353720837271553,2020-07-04 09:57:50,Twitter Web App,33028,9079,0
194,"Performed Sindhu Puja in Nimu yesterday. 

Prayed for the peace, progress and prosperity of our nation. https://t.co/AEoWGzmg4b",127,1279345728037351424,2020-07-04 09:26:05,Twitter for iPhone,114241,14496,0
195,"देववाणीं संस्कृतभाषां वैश्विके पटले प्रचारप्रसारशिखरासनम् आसादयितुं कृतयत्नस्य डी.डी.न्यूज़-वाहिन्यां प्रसार्यमाणस्य 'वार्तावली'-कार्यक्रमस्य अतुल्यमस्ति योगदानम्।
वार्तावल्याः पञ्चवर्षपूर्त्यवसरे संस्कृतकार्यक्रमसम्बद्धान् समस्तान् सदस्यान् दर्शकाँश्च अहं हृदयेन अभिनन्दामि। https://t.co/CVuoTQWM5Y",299,1279344668572971008,2020-07-04 09:21:52,Twitter for iPhone,25603,4922,0
196,"For @BJP4India Karyakartas, serving the nation comes first. 

In these challenging times, our Karyakartas have been working tirelessly across India, helping those in need. 

Will be discussing these works and the way ahead during the ‘Seva Hi Sangathan’ interaction at 4:30 PM. https://t.co/t0gXBloBwb",301,1279325250514071553,2020-07-04 08:04:43,Twitter for iPhone,22917,3683,1
197,My address at the programme marking Dharma Chakra Parvattana. https://t.co/Nrf47tGhV5,85,1279303131193458693,2020-07-04 06:36:49,Periscope,29914,5472,0
198,विस्तारवाद का युग समाप्त हो चुका है। यह युग विकासवाद का है। https://t.co/9eFxrYjo6x,83,1279056607230529542,2020-07-03 14:17:13,Twitter Media Studio,101127,18353,0
199,"राष्ट्र की, दुनिया की, मानवता की प्रगति के लिए शांति और मित्रता बहुत जरूरी है, लेकिन हम यह भी जानते हैं कि शांति निर्बल नहीं ला सकता, कमजोर शांति की पहल नहीं कर सकता।

भारत आज जल, थल, नभ और अंतरिक्ष तक अगर अपनी ताकत बढ़ा रहा है, तो उसके पीछे का लक्ष्य भी शांति ही है। https://t.co/knBpF5uSYe",291,1279056249217310720,2020-07-03 14:15:48,Twitter Media Studio,46995,9363,0
